	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
10	2177	59	425	0.06553009712803887	0.06553009712803887	-9.967*x1 + 9.965*x2 + 0.001*x3	-0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223	x1*(1.015*x2 + 0.08) - 2.733136459651975*x3	2177	dso	allonger	lorenz	inf	0
5	577	56	398	0.07224109192894052	0.07224109192894052	-9.966*x1 + 9.966*x2	-0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223	x1*(1.015*x2 + 0.08) - 2.733136459651975*x3	577	dso	allonger	lorenz	inf	0
7	1362	31	220	0.07967017426837653	0.07967017426837653	-9.965*x1 + 9.966*x2 - 0.007	-0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223	x1*x2 - 2.667*x3	1362	dso	allonger	lorenz	inf	0
6	962	30	195	0.08468657485564823	0.08468657485564823	-9.966*x1 + 9.966*x2	-0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223	x1*x2 - 2.667*x3	962	dso	allonger	lorenz	inf	0
9	2123	29	213	0.543607578525408	0.543607578525408	-9.967*x1 + 9.965*x2 + 0.001*x3	-0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166	x1*x2 - 2.667*x3 + 0.013	2123	dso	allonger	lorenz	inf	0
8	2122	28	192	0.5551613927095462	0.5551613927095462	-9.967*x1 + 9.965*x2 + 0.001*x3	-0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166	x1*x2 - 2.667*x3	2122	dso	allonger	lorenz	inf	0
4	523	26	186	0.5572169649786284	0.5572169649786284	-9.966*x1 + 9.966*x2	-0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166	x1*x2 - 2.667*x3 + 0.013	523	dso	allonger	lorenz	inf	0
3	522	25	165	0.5689926466865328	0.5689926466865328	-9.966*x1 + 9.966*x2	-0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166	x1*x2 - 2.667*x3	522	dso	allonger	lorenz	inf	0
2	482	24	142	0.6774409980812304	0.6774409980812304	-9.966*x1 + 9.966*x2	-0.993*x1*(x3 - 27.955) - 0.95*x2	x1*x2 - 2.667*x3	482	dso	allonger	lorenz	inf	0
1	20	15	57	4.21264596819345	4.21264596819345	-x1 + x2	-3.412*x1 + x3	9.392 - x1	20	dso	allonger	lorenz	inf	0
0	0	13	53	487.0114987766108	487.0114987766108	-x1 + x2	x3 - 26.473	9.392 - x1	0	dso	allonger	lorenz	inf	0
