x,y
0,0
0.01,0.005630235192220884301
0.02,0.011258879675581905816
0.03,0.016884342233914720207
0.04,0.022505030639194546362
0.05,0.028119351149518540063
0.06,0.03372570801182016354
0.07,0.03932250297168081691
0.08,0.04490813479081074264
0.09,0.05048099877460385354
0.1,0.05603948631063189212
0.11,0.06158198441996985325
0.12,0.06710687532265270063
0.13,0.07261253601845585400
0.14,0.07809733788452045382
0.15,0.08355964629071994759
0.16,0.08899782023398055236
0.17,0.09441021199221713234
0.18,0.09979516679884930455
0.19,0.10515102253804812275
0.2,0.11047610946133618497
0.21,0.11576874992508674050
0.22,0.12102725814905446187
0.23,0.12624993999471037965
0.24,0.13143509276266955144
0.25,0.13658100500731783345
0.26,0.14168595636656871566
0.27,0.14674821740404943421
0.28,0.15176604946002580139
0.29,0.15673770450710516083
0.3,0.16166142500530496612
0.31,0.16653544375058330281
0.32,0.17135798370956385029
0.33,0.17612725783204440562
0.34,0.18084146883158908916
0.35,0.18549880892290604993
0.36,0.19009745950321786279
0.37,0.19463559076281259779
0.38,0.19911136120821451290
0.39,0.20352291707889395472
0.4,0.20786839163629573755
0.41,0.21214590430105742018
0.42,0.21635355961140722271
0.43,0.22048944597244666666
0.44,0.22455163416239561157
0.45,0.22853817555778423218
0.46,0.23244710003521955316
0.47,0.23627641350221347784
0.48,0.24002409500411559084
0.49,0.24368809334780733597
0.5,0.24726632317573607390
0.51,0.25075666041584946248
0.52,0.25415693702381471706
0.53,0.25746493492330044972
0.54,0.26067837903803673528
0.55,0.26379492929526832150
0.56,0.26681217146374811611
0.57,0.26972760667026744538
0.58,0.27253863941585368265
0.59,0.27524256388606799795
0.6,0.27783654831755679081
0.61,0.28031761714479309519
0.62,0.28268263060458902860
0.63,0.28492826142015220497
0.64,0.28705096811840231008
0.65,0.28904696445130411079
0.66,0.29091218428996711651
0.67,0.29264224123443094301
0.68,0.29423238202587924429
0.69,0.29567743265310163511
0.7,0.29697173580041630851
0.71,0.29810907797509384549
0.72,0.29908260425939953838
0.73,0.29988471812890743751
0.74,0.30050696312924749867
0.75,0.30093988235842267017
0.76,0.30117285059272723270
0.77,0.30119387242521357859
0.78,0.30098933781945845637
0.79,0.30054372382096797005
0.8,0.29983922752603522059
0.81,0.29885531035485028713
0.82,0.29756812656704514807
0.83,0.29594979880012742057
0.84,0.29396748864701902625
0.85,0.29158218841865502686
0.86,0.28874712715148645599
0.87,0.28540563266787800068
0.88,0.28148820995681263544
0.89,0.27690846239968557636
0.9,0.27155725516729629546
0.91,0.26529411803943937668
0.92,0.25793413808927221234
0.93,0.24922712252027956686
0.94,0.23882270371120795224
0.95,0.22620786838189145041
0.96,0.21058468631960016059
0.97,0.19059881763470125860
0.98,0.16360688944110327305
0.99,0.12285075473986144956
0.991,0.11735843206481563498
0.992,0.11144655575050890742
0.993,0.10503452751225314813
0.994,0.09801201274844488990
0.995,0.09022070602779355108
0.996,0.08141849760191070741
0.997,0.07119931294170788006
0.998,0.05877437106824735987
0.999,0.04211547929990510009
1,0
