sequence ID,URL,cathegory (trivial/exists/none),ground truth,Diofantos,SINDy
A000002,https://oeis.org/A000002,,,,
A000005,https://oeis.org/A000005,,,,
A000009,https://oeis.org/A000009,,,,
A000010,https://oeis.org/A000010,,,,
A000014,https://oeis.org/A000014,,,,
A000019,https://oeis.org/A000019,,,,
A000029,https://oeis.org/A000029,,,,
A000031,https://oeis.org/A000031,,,,
A000032,https://oeis.org/A000032,,,,
A000035,https://oeis.org/A000035,,,,
A000040,https://oeis.org/A000040,,,,
A000041,https://oeis.org/A000041,,,,
A000043,https://oeis.org/A000043,,,,
A000045,https://oeis.org/A000045,,,,
A000048,https://oeis.org/A000048,,,,
A000055,https://oeis.org/A000055,,,,
A000058,https://oeis.org/A000058,,,,
A000069,https://oeis.org/A000069,,,,
A000079,https://oeis.org/A000079,,,,
A000081,https://oeis.org/A000081,,,,
A000085,https://oeis.org/A000085,,,,
A000088,https://oeis.org/A000088,,,,
A000105,https://oeis.org/A000105,,,,
A000108,https://oeis.org/A000108,,,,
A000110,https://oeis.org/A000110,,,,
A000111,https://oeis.org/A000111,,,,
A000120,https://oeis.org/A000120,,,,
A000123,https://oeis.org/A000123,,,,
A000124,https://oeis.org/A000124,,,,
A000129,https://oeis.org/A000129,,,,
A000140,https://oeis.org/A000140,,,,
A000142,https://oeis.org/A000142,,,,
A000161,https://oeis.org/A000161,,,,
A000166,https://oeis.org/A000166,,,,
A000169,https://oeis.org/A000169,,,,
A000182,https://oeis.org/A000182,,,,
A000203,https://oeis.org/A000203,,,,
A000204,https://oeis.org/A000204,,,,
A000217,https://oeis.org/A000217,,,,
A000219,https://oeis.org/A000219,,,,
A000225,https://oeis.org/A000225,,,,
A000244,https://oeis.org/A000244,,,,
A000262,https://oeis.org/A000262,,,,
A000272,https://oeis.org/A000272,,,,
A000273,https://oeis.org/A000273,,,,
A000290,https://oeis.org/A000290,,,,
A000292,https://oeis.org/A000292,,,,
A000302,https://oeis.org/A000302,,,,
A000311,https://oeis.org/A000311,,,,
A000312,https://oeis.org/A000312,,,,
A000326,https://oeis.org/A000326,,,,
A000330,https://oeis.org/A000330,,,,
A000364,https://oeis.org/A000364,,,,
A000396,https://oeis.org/A000396,,,,
A000521,https://oeis.org/A000521,,,,
A000578,https://oeis.org/A000578,,,,
A000583,https://oeis.org/A000583,,,,
A000593,https://oeis.org/A000593,,,,
A000594,https://oeis.org/A000594,,,,
A000602,https://oeis.org/A000602,,,,
A000612,https://oeis.org/A000612,,,,
A000670,https://oeis.org/A000670,,,,
A000688,https://oeis.org/A000688,,,,
A000720,https://oeis.org/A000720,,,,
A000793,https://oeis.org/A000793,,,,
A000796,https://oeis.org/A000796,,,,
A000798,https://oeis.org/A000798,,,,
A000959,https://oeis.org/A000959,,,,
A000961,https://oeis.org/A000961,,,,
A000984,https://oeis.org/A000984,,,,
A001003,https://oeis.org/A001003,,,,
A001006,https://oeis.org/A001006,,,,
A001034,https://oeis.org/A001034,,,,
A001037,https://oeis.org/A001037,,,,
A001045,https://oeis.org/A001045,,,,
A001055,https://oeis.org/A001055,,,,
A001057,https://oeis.org/A001057,,,,
A001065,https://oeis.org/A001065,,,,
A001097,https://oeis.org/A001097,,,,
A001113,https://oeis.org/A001113,,,,
A001147,https://oeis.org/A001147,,,,
A001157,https://oeis.org/A001157,,,,
A001190,https://oeis.org/A001190,,,,
A001221,https://oeis.org/A001221,,,,
A001222,https://oeis.org/A001222,,,,
A001227,https://oeis.org/A001227,,,,
A001285,https://oeis.org/A001285,,,,
A001333,https://oeis.org/A001333,,,,
A001349,https://oeis.org/A001349,,,,
A001358,https://oeis.org/A001358,,,,
A001405,https://oeis.org/A001405,,,,
A001462,https://oeis.org/A001462,,,,
A001481,https://oeis.org/A001481,,,,
A001511,https://oeis.org/A001511,,,,
A001519,https://oeis.org/A001519,,,,
A001615,https://oeis.org/A001615,,,,
A001699,https://oeis.org/A001699,,,,
A001700,https://oeis.org/A001700,,,,
A001764,https://oeis.org/A001764,,,,
A001906,https://oeis.org/A001906,,,,
A001969,https://oeis.org/A001969,,,,
A002033,https://oeis.org/A002033,,,,
A002083,https://oeis.org/A002083,,,,
A002110,https://oeis.org/A002110,,,,
A002113,https://oeis.org/A002113,,,,
A002275,https://oeis.org/A002275,,,,
A002322,https://oeis.org/A002322,,,,
A002378,https://oeis.org/A002378,,,,
A002426,https://oeis.org/A002426,,,,
A002487,https://oeis.org/A002487,,,,
A002530,https://oeis.org/A002530,,,,
A002531,https://oeis.org/A002531,,,,
A002572,https://oeis.org/A002572,,,,
A002620,https://oeis.org/A002620,,,,
A002654,https://oeis.org/A002654,,,,
A002658,https://oeis.org/A002658,,,,
A002808,https://oeis.org/A002808,,,,
A003136,https://oeis.org/A003136,,,,
A003418,https://oeis.org/A003418,,,,
A003484,https://oeis.org/A003484,,,,
A004011,https://oeis.org/A004011,,,,
A004018,https://oeis.org/A004018,,,,
A004526,https://oeis.org/A004526,,,,
A005036,https://oeis.org/A005036,,,,
A005100,https://oeis.org/A005100,,,,
A005101,https://oeis.org/A005101,,,,
A005117,https://oeis.org/A005117,,,,
A005130,https://oeis.org/A005130,,,,
A005230,https://oeis.org/A005230,,,,
A005408,https://oeis.org/A005408,,,,
A005588,https://oeis.org/A005588,,,,
A005811,https://oeis.org/A005811,,,,
A005843,https://oeis.org/A005843,,,,
A006318,https://oeis.org/A006318,,,,
A006530,https://oeis.org/A006530,,,,
A006882,https://oeis.org/A006882,,,,
A006894,https://oeis.org/A006894,,,,
A007318,https://oeis.org/A007318,,,,
A008275,https://oeis.org/A008275,,,,
A008277,https://oeis.org/A008277,,,,
A008279,https://oeis.org/A008279,,,,
A008292,https://oeis.org/A008292,,,,
A008683,https://oeis.org/A008683,,,,
A010060,https://oeis.org/A010060,,,,
A018252,https://oeis.org/A018252,,,,
A020639,https://oeis.org/A020639,,,,
A020652,https://oeis.org/A020652,,,,
A020653,https://oeis.org/A020653,,,,
A025487,https://oeis.org/A025487,,,,
A027641,https://oeis.org/A027641,,,,
A027642,https://oeis.org/A027642,,,,
A035099,https://oeis.org/A035099,,,,
A038566,https://oeis.org/A038566,,,,
A038567,https://oeis.org/A038567,,,,
A038568,https://oeis.org/A038568,,,,
A038569,https://oeis.org/A038569,,,,
A049310,https://oeis.org/A049310,,,,
A055512,https://oeis.org/A055512,,,,
A070939,https://oeis.org/A070939,,,,
A074206,https://oeis.org/A074206,,,,
A104725,https://oeis.org/A104725,,,,
A226898,https://oeis.org/A226898,,,,
A246655,https://oeis.org/A246655,,,,
