A000045,A000004
"(1,1)",(1)
0,0
1,0
1,0
2,0
3,0
5,0
8,0
13,0
21,0
34,0
55,0
89,0
144,0
233,0
377,0
610,0
987,0
1597,0
2584,0
4181,0
6765,0
10946,0
17711,0
28657,0
46368,0
75025,0
121393,0
196418,0
317811,0
514229,0
832040,0
1346269,0
2178309,0
3524578,0
5702887,0
9227465,0
14930352,0
24157817,0
39088169,0
63245986,0
102334155,0
165580141,0
267914296,0
433494437,0
701408733,0
1134903170,0
1836311903,0
2971215073,0
4807526976,0
7778742049,0
12586269025,0
20365011074,0
32951280099,0
53316291173,0
86267571272,0
139583862445,0
225851433717,0
365435296162,0
591286729879,0
956722026041,0
1548008755920,0
2504730781961,0
4052739537881,0
6557470319842,0
10610209857723,0
17167680177565,0
27777890035288,0
44945570212853,0
72723460248141,0
117669030460994,0
190392490709135,0
308061521170129,0
498454011879264,0
806515533049393,0
1304969544928657,0
2111485077978050,0
3416454622906707,0
5527939700884757,0
8944394323791464,0
14472334024676221,0
23416728348467685,0
37889062373143906,0
61305790721611591,0
99194853094755497,0
160500643816367088,0
259695496911122585,0
420196140727489673,0
679891637638612258,0
1100087778366101931,0
1779979416004714189,0
2880067194370816120,0
4660046610375530309,0
7540113804746346429,0
12200160415121876738,0
19740274219868223167,0
31940434634990099905,0
51680708854858323072,0
83621143489848422977,0
135301852344706746049,0
218922995834555169026,0
354224848179261915075,0
573147844013817084101,0
927372692193078999176,0
1500520536206896083277,0
2427893228399975082453,0
3928413764606871165730,0
6356306993006846248183,0
10284720757613717413913,0
16641027750620563662096,0
26925748508234281076009,0
43566776258854844738105,0
70492524767089125814114,0
114059301025943970552219,0
184551825793033096366333,0
298611126818977066918552,0
483162952612010163284885,0
781774079430987230203437,0
1264937032042997393488322,0
2046711111473984623691759,0
3311648143516982017180081,0
5358359254990966640871840,0
8670007398507948658051921,0
14028366653498915298923761,0
22698374052006863956975682,0
36726740705505779255899443,0
59425114757512643212875125,0
96151855463018422468774568,0
155576970220531065681649693,0
251728825683549488150424261,0
407305795904080553832073954,0
659034621587630041982498215,0
1066340417491710595814572169,0
1725375039079340637797070384,0
2791715456571051233611642553,0
4517090495650391871408712937,0
7308805952221443105020355490,0
11825896447871834976429068427,0
19134702400093278081449423917,0
30960598847965113057878492344,0
50095301248058391139327916261,0
81055900096023504197206408605,0
131151201344081895336534324866,0
212207101440105399533740733471,0
343358302784187294870275058337,0
555565404224292694404015791808,0
898923707008479989274290850145,0
1454489111232772683678306641953,0
2353412818241252672952597492098,0
3807901929474025356630904134051,0
6161314747715278029583501626149,0
9969216677189303386214405760200,0
16130531424904581415797907386349,0
26099748102093884802012313146549,0
42230279526998466217810220532898,0
68330027629092351019822533679447,0
110560307156090817237632754212345,0
178890334785183168257455287891792,0
289450641941273985495088042104137,0
468340976726457153752543329995929,0
757791618667731139247631372100066,0
1226132595394188293000174702095995,0
1983924214061919432247806074196061,0
3210056809456107725247980776292056,0
5193981023518027157495786850488117,0
8404037832974134882743767626780173,0
13598018856492162040239554477268290,0
22002056689466296922983322104048463,0
35600075545958458963222876581316753,0
57602132235424755886206198685365216,0
93202207781383214849429075266681969,0
150804340016807970735635273952047185,0
244006547798191185585064349218729154,0
394810887814999156320699623170776339,0
638817435613190341905763972389505493,0
1033628323428189498226463595560281832,0
1672445759041379840132227567949787325,0
2706074082469569338358691163510069157,0
4378519841510949178490918731459856482,0
7084593923980518516849609894969925639,0
11463113765491467695340528626429782121,0
18547707689471986212190138521399707760,0
30010821454963453907530667147829489881,0
48558529144435440119720805669229197641,0
78569350599398894027251472817058687522,0
127127879743834334146972278486287885163,0
205697230343233228174223751303346572685,0
332825110087067562321196029789634457848,0
538522340430300790495419781092981030533,0
871347450517368352816615810882615488381,0
1409869790947669143312035591975596518914,0
2281217241465037496128651402858212007295,0
3691087032412706639440686994833808526209,0
5972304273877744135569338397692020533504,0
9663391306290450775010025392525829059713,0
15635695580168194910579363790217849593217,0
25299086886458645685589389182743678652930,0
40934782466626840596168752972961528246147,0
66233869353085486281758142155705206899077,0
107168651819712326877926895128666735145224,0
173402521172797813159685037284371942044301,0
