a, b, c
6, 8, 10
8, 15, 17
9, 40, 41
33, 56, 65
39, 80, 89
7, 24, 25
28, 45, 53
48, 55, 73
65, 72, 97
3, 4, 5
20, 21, 29
11, 60, 61
13, 84, 85
5, 12, 13
12, 35, 37
16, 63, 65
36, 77, 85
20, 99, 101
88, 105, 137
85, 132, 157
57, 176, 185
84, 187, 205
60, 221, 229
23, 264, 265
160, 231, 281
60, 91, 109
17, 144, 145
119, 120, 169
104, 153, 185
133, 156, 205
105, 208, 233
96, 247, 265
161, 240, 289
15, 112, 113
24, 143, 145
52, 165, 173
95, 168, 193
21, 220, 221
120, 209, 241
69, 260, 269
68, 285, 293
44, 117, 125
51, 140, 149
19, 180, 181
28, 195, 197
140, 171, 221
32, 255, 257
115, 252, 277
